,nombre_local,precio medio Açaí,puntuacion,valoraciones,direccion,tiempo entrega a badalona,gastos de envio,enlace,estimacion_ventas
0,acai&me,12.31,4.8,150,"Plaça De La Llana 19, Barcelona, EMEA 08003",45,2.69,https://www.ubereats.com/es/store/acai%26me-plaza-de-la-llana/0kPBWPv0WIGn6-p_shW2ew,3000
1,amazonia acai,10.5,4.4,280,"Carrer De Los Castillejos 248, Bajo, Barcelona, EMEA 08013",35,2.69,https://www.ubereats.com/es/store/amazonia-acai-sagrada-familia/4N-LdarTWj6WNfHuQgZf3g,5600
2,barna bites,13.9,0.0,0,"Calle De Aragó 235, Local 4, Barcelona, CT 08007",50,2.69,https://www.ubereats.com/es/store/barna-bites/QT3Chd6MSvm1vrPKKtGpPQ,0
3,bristol cafe,12.5,4.6,170,"Carrer De Roger De Flor 220, Barcelona, EMEA 08013",40,2.69,https://www.ubereats.com/es/store/bristol-cafe/imtJyZwtUxK3UYMiRhDfGw,3400
4,colibri brunch y bistro,11.84,4.0,23,"Paseo Joan De Borbo 6, Barcelona, EMEA 08003",0,2.69,https://www.ubereats.com/es/store/colibri-brunch-y-bistro/vQ7TV9FSUj63PfaMxIwdQQ,460
5,coco house barceloneta,9.83,0.0,0,"Carrer De Meer 52, Barcelona, EMEA 08003",40,2.69,https://www.ubereats.com/es/store/coco-house-barceloneta/HfcDMl-bWsa0iryBAHwWwQ,0
6,cumin brunch & café,8.45,4.6,18,"C. De Los Castillejos, 310, L'Eixample, Barcelona, EMEA 8025",40,2.69,https://www.ubereats.com/es/store/cumin-brunch-%26-cafe/iGXhTnSCUpC7ITPlMVyl6Q,360
7,"eatmy trip lunch, brunch, specialty coffee",13.08,0.0,0,"Carrer Del Consell De Cent 378, Barcelona, CT 08009",45,2.69,https://www.ubereats.com/es/store/eatmy-trip-lunch-brunch-specialty-coffee/PzsY8SwdQzaYL2c3lEmhDw,0
8,federal café,10.8,4.6,150,"Carrer Del Taulat, 109, Barcelona, CT 08005",40,2.69,https://www.ubereats.com/es/store/federal-cafe-poblenou/DFYFOtd_QDeWy17_uJ32ZA,3000
9,ferretti poblenou,13.34,4.0,140,"Llull 217 -221, Barcelona, CT 08005",35,2.69,https://www.ubereats.com/es/store/ferretti-poblenou/YHE5spUUVi-7L2l9U7UBYg,2800
10,fitbar eixample,8.46,4.5,54,"Calle De Girona 50, Barcelona, CT 08009",35,2.69,https://www.ubereats.com/es/store/fitbar-eixample/kZkKfx5hSaClnO9h2k9OSg,1080
11,flexbowls,12.63,4.5,440,"Carrer De La Diputació, 291, Barcelona, Catalunya 08009",40,2.69,https://www.ubereats.com/es/store/flexbowls/MVGrRDgIS6KZnWO6sa-sYg,8800
12,green & burger by biocenter,13.95,4.7,320,"Plaça Sagrada Família, 3, Local 2, Barcelona, EMEA 08013",40,2.69,https://www.ubereats.com/es/store/green-%26-burger-by-biocenter/u_0KcBk0SrWXLJOMGPMaog,6400
13,juice dudes,15.9,4.6,92,"Avinguda Meridiana 1, Barcelona, EMEA 08018",35,2.69,https://www.ubereats.com/es/store/juice-dudes-meridiana/bpSpLwfMWs2ftXXw-Zjh-g,1840
14,meu gusto açai,12.66,0.0,0,"Rambla Del Poblenou, 82, Sant Martí, Barcelona, EMEA 08005",35,2.69,https://www.ubereats.com/es/store/meu-gusto-acai/SXoBxbfkW2SQZZRCnoi2bg,0
15,nudes,13.67,4.2,22,"Rambla De Catalunya 29, Barcelona, EMEA 08007",50,2.69,https://www.ubereats.com/es/store/nudes-rambla/LEgIRNQOW0ipM0jQ9ahTFg,440
16,oakberry,11.93,4.7,200,"Carrer Del Joncar 5, Barcelona, EMEA 08005",30,2.69,https://www.ubereats.com/es/store/oakberry-poblenou/wPVUaxTRU1CbMvrTdFgEhQ,4000
17,poke house 🐠 maquinista,12.9,4.3,2000,"Carrer De Potosí, 2, Barcelona, EMEA 08030",35,1.69,https://www.ubereats.com/es/store/poke-house-maquinista/CTEbtfkfRfe78j0KWOQvQg,40000
18,starbucks,4.4,3.7,270,"C.C. La Maquinista / Carrer De Potosí, 2 (Barcelona), Barcelona, Spain, Spain 08030",40,1.69,https://www.ubereats.com/es/store/starbucks-la-maquinista/R3ve4vQFRa-N0fwCXz_EFw,5400
19,super be,15.7,4.5,46,"Av D'Icaria 153, Barcelona, CT 08005",40,2.69,https://www.ubereats.com/es/store/super-be-juice-food-%26-good-mood-av-dicaria/95zpCBm4QLid2pw_fAHJZg,920
20,surf house barcelona,8.55,4.3,33,"Carrer D'Emília Llorca Martín 22, Barcelona, EMEA 08003",45,2.69,https://www.ubereats.com/es/store/surf-house-barcelona/Xc7stNuyVj6tIEdxVYnHkQ,660
21,the garden brunch café,8.48,0.0,0,"Rambla Del Poblenou, 147, Barcelona, EMEA 8018",35,2.69,https://www.ubereats.com/es/store/the-garden-brunch-cafe-barcelona/jeACAB3oUiqgLYhhm4w0dA,0
22,tizana açai bar,7.1,4.1,28,"Carrer De La Marina 187, Barcelona, EMEA 08013",0,2.69,https://www.ubereats.com/es/store/tizana-acai-bar/jfPTZogAVDu5shN4l81HXg,560
23,tropico,11.0,5.0,30,"Balmes 24 Bajos Local 1, Barcelona, EMEA 08007",50,2.69,https://www.ubereats.com/es/store/tropico/12NhJU6gWQy8Diobr7wt1Q,600
24,vegetal veg,6.0,0.0,0,"Carrer De Sant Antoni Maria Claret 148, Local 2, Barcelona, EMEA 08025",40,2.69,https://www.ubereats.com/es/store/vegetal-veg/04M8F6u2X6eG0zr5KbSaIA,0
25,viva açai,15.43,3.4,26,"Plaza De La Vila 22, Local, Santa Coloma De Gramenet, EMEA 08921",25,1.09,https://www.ubereats.com/es/store/viva-acai-santa-coloma-de-gramenet/gq4gK4ueVSGc-rfmL9gcig,520
27,wok show,9.75,4.4,60,"Carrer De La Marina, 262, Barcelona, Catalunya 08013",35,2.69,https://www.ubereats.com/es/store/wok-show-la-marina/4xRE_Y8SRhq0lK8GcCe0gw,1200
28,zenith brunch & cocktails,,4.4,1000,"Calle Gran Via De Les Corts Catalanes, 633, Barcelona, EMEA 08009",45,2.69,https://www.ubereats.com/es/store/zenith-brunch-%26-cocktails-gran-via/wVNQta7BSwSzJrnKeJ9tVg,20000
