,nombre,puntuacion,valoraciones,direccion,tiempo entrega a badalona,gastos de envio,enlace
0,Viva Açai,3.4,26,"Plaza De La Vila 22, Local, Santa Coloma De Gramenet, EMEA 08921",25,1.09,https://www.ubereats.com/es/store/viva-acai-santa-coloma-de-gramenet/gq4gK4ueVSGc-rfmL9gcig
1,Amazonia Acai,4.4,280,"Carrer De Los Castillejos 248, Bajo, Barcelona, EMEA 08013",35,2.69,https://www.ubereats.com/es/store/amazonia-acai-sagrada-familia/4N-LdarTWj6WNfHuQgZf3g
3,OakBerry,4.7,200,"Carrer Del Joncar 5, Barcelona, EMEA 08005",30,2.69,https://www.ubereats.com/es/store/oakberry-poblenou/wPVUaxTRU1CbMvrTdFgEhQ
4,Poke House 🐠 Maquinista,4.3,2000,"Carrer De Potosí, 2, Barcelona, EMEA 08030",35,1.69,https://www.ubereats.com/es/store/poke-house-maquinista/CTEbtfkfRfe78j0KWOQvQg
5,Gaia's Garden,4.7,20,"Carrer De Còrsega 551, Pb, Barcelona, CT 08025",40,2.69,https://www.ubereats.com/es/store/gaias-garden-acai-%26-smoothie/RIc9FwCWSZeav_KQVBJ8RA
6,Acai&Me,4.8,150,"Plaça De La Llana 19, Barcelona, EMEA 08003",45,2.69,https://www.ubereats.com/es/store/acai%26me-plaza-de-la-llana/0kPBWPv0WIGn6-p_shW2ew
8,Flexbowls,4.5,440,"Carrer De La Diputació, 291, Barcelona, Catalunya 08009",40,2.69,https://www.ubereats.com/es/store/flexbowls/MVGrRDgIS6KZnWO6sa-sYg
9,Viva Açai,3.4,26,"Plaza De La Vila 22, Local, Santa Coloma De Gramenet, EMEA 08921",25,1.09,https://www.ubereats.com/es/store/viva-acai-santa-coloma-de-gramenet/gq4gK4ueVSGc-rfmL9gcig
10,Starbucks,3.7,270,"C.C. La Maquinista / Carrer De Potosí, 2 (Barcelona), Barcelona, Spain, Spain 08030",40,1.69,https://www.ubereats.com/es/store/starbucks-la-maquinista/R3ve4vQFRa-N0fwCXz_EFw
11,Coco House Barceloneta,0.0,0,"Carrer De Meer 52, Barcelona, EMEA 08003",40,2.69,https://www.ubereats.com/es/store/coco-house-barceloneta/HfcDMl-bWsa0iryBAHwWwQ
12,Juice Dudes,4.6,92,"Avinguda Meridiana 1, Barcelona, EMEA 08018",35,2.69,https://www.ubereats.com/es/store/juice-dudes-meridiana/bpSpLwfMWs2ftXXw-Zjh-g
13,FitBar Eixample,4.5,54,"Calle De Girona 50, Barcelona, CT 08009",35,2.69,https://www.ubereats.com/es/store/fitbar-eixample/kZkKfx5hSaClnO9h2k9OSg
14,Meu Gusto Açai,0.0,0,"Rambla Del Poblenou, 82, Sant Martí, Barcelona, EMEA 08005",35,2.69,https://www.ubereats.com/es/store/meu-gusto-acai/SXoBxbfkW2SQZZRCnoi2bg
15,La Chirigota,0.0,0,"Carrer De Mallorca, 272, 08037, Barcelona, EMEA 08037",35,2.69,https://www.ubereats.com/es/store/la-chirigota-eixample/aNtgtCFhWvOMFFj0AKnXuQ
16,The Garden Brunch café,0.0,0,"Rambla Del Poblenou, 147, Barcelona, EMEA 8018",35,2.69,https://www.ubereats.com/es/store/the-garden-brunch-cafe-barcelona/jeACAB3oUiqgLYhhm4w0dA
17,Bristol Cafe,4.6,170,"Carrer De Roger De Flor 220, Barcelona, EMEA 08013",40,2.69,https://www.ubereats.com/es/store/bristol-cafe/imtJyZwtUxK3UYMiRhDfGw
19,Lilo Brunch,4.5,380,"Carrer De La Diputació, 443, Bajos, Barcelona, CT 08013",40,2.69,https://www.ubereats.com/es/store/lilo-brunch/fw0NT2rbSyKoxBp3wQ1fGQ
20,Nudes,4.2,22,"Rambla De Catalunya 29, Barcelona, EMEA 08007",50,2.69,https://www.ubereats.com/es/store/nudes-rambla/LEgIRNQOW0ipM0jQ9ahTFg
21,"EatMy Trip Lunch, Brunch, Specialty Coffee",0.0,0,"Carrer Del Consell De Cent 378, Barcelona, CT 08009",45,2.69,https://www.ubereats.com/es/store/eatmy-trip-lunch-brunch-specialty-coffee/PzsY8SwdQzaYL2c3lEmhDw
22,Vegetal Veg,0.0,0,"Carrer De Sant Antoni Maria Claret 148, Local 2, Barcelona, EMEA 08025",40,2.69,https://www.ubereats.com/es/store/vegetal-veg/04M8F6u2X6eG0zr5KbSaIA
23,Zenith Brunch & Cocktails,4.4,1000,"Calle Gran Via De Les Corts Catalanes, 633, Barcelona, EMEA 08009",45,2.69,https://www.ubereats.com/es/store/zenith-brunch-%26-cocktails-gran-via/wVNQta7BSwSzJrnKeJ9tVg
24,Ferretti Poblenou,4.0,140,"Llull 217 -221, Barcelona, CT 08005",35,2.69,https://www.ubereats.com/es/store/ferretti-poblenou/YHE5spUUVi-7L2l9U7UBYg
25,Green & Burger By Biocenter,4.7,320,"Plaça Sagrada Família, 3, Local 2, Barcelona, EMEA 08013",40,2.69,https://www.ubereats.com/es/store/green-%26-burger-by-biocenter/u_0KcBk0SrWXLJOMGPMaog
26,Barna Bites,0.0,0,"Calle De Aragó 235, Local 4, Barcelona, CT 08007",50,2.69,https://www.ubereats.com/es/store/barna-bites/QT3Chd6MSvm1vrPKKtGpPQ
27,Super Be,4.5,46,"Av D'Icaria 153, Barcelona, CT 08005",40,2.69,https://www.ubereats.com/es/store/super-be-juice-food-%26-good-mood-av-dicaria/95zpCBm4QLid2pw_fAHJZg
28,Federal Café,4.6,150,"Carrer Del Taulat, 109, Barcelona, CT 08005",40,2.69,https://www.ubereats.com/es/store/federal-cafe-poblenou/DFYFOtd_QDeWy17_uJ32ZA
29,Tropico,5.0,30,"Balmes 24 Bajos Local 1, Barcelona, EMEA 08007",50,2.69,https://www.ubereats.com/es/store/tropico/12NhJU6gWQy8Diobr7wt1Q
30,Cumin Brunch & Café,4.6,18,"C. De Los Castillejos, 310, L'Eixample, Barcelona, EMEA 8025",40,2.69,https://www.ubereats.com/es/store/cumin-brunch-%26-cafe/iGXhTnSCUpC7ITPlMVyl6Q
31,Le Florentine Barcelona,4.8,21,"Carrer De Sancho De Ávila 173, Barcelona, EMEA 08018",45,2.69,https://www.ubereats.com/es/store/le-florentine-barcelona-barcelona/QneIeyUbUOaIsJLqGbuUXw
32,BARNABIER,0.0,0,"Centro Moda Shopping, Torre Mapfre, Carrer De La Marina, 16,, Barcelona, EMEA 08005",40,2.69,https://www.ubereats.com/es/store/barnabier/woMFGPdUVDehMMse1KHLuA
33,Natury Clot,4.2,100,"Calle Del Clot 69, Barcelona, CT 08018",35,2.69,https://www.ubereats.com/es/store/natury-clot/ACf20QX1Rh2A5BsvWBrb4Q
34,Wok Show,4.4,60,"Carrer De La Marina, 262, Barcelona, Catalunya 08013",35,2.69,https://www.ubereats.com/es/store/wok-show-la-marina/4xRE_Y8SRhq0lK8GcCe0gw
37,Surf House Barcelona,4.3,33,"Carrer D'Emília Llorca Martín 22, Barcelona, EMEA 08003",45,2.69,https://www.ubereats.com/es/store/surf-house-barcelona/Xc7stNuyVj6tIEdxVYnHkQ
70,Tizana Açai Bar,4.1,28,"Carrer De La Marina 187, Barcelona, EMEA 08013",0,2.69,https://www.ubereats.com/es/store/tizana-acai-bar/jfPTZogAVDu5shN4l81HXg
71,Jeicoto,0.0,0,"Carrer De Lepant, 310, L'Eixample, 08025 Barcelona, España, EMEA 08025",0,2.69,https://www.ubereats.com/es/store/jeicoto/c_7y99RMVtC2HzB1bbUaiw
72,COLIBRI BRUNCH Y BISTRO,4.0,23,"Paseo Joan De Borbo 6, Barcelona, EMEA 08003",0,2.69,https://www.ubereats.com/es/store/colibri-brunch-y-bistro/vQ7TV9FSUj63PfaMxIwdQQ
73,PhilosophEAT,4.6,63,"Carrer De Pau Claris 188, Barcelona, EMEA 08037",0,2.69,https://www.ubereats.com/es/store/philosopheat-barcelona/QWN9hA28V0qJgFM8-Yl1OQ
75,Mar del Ro Helado Artesanal,0.0,0,"C/ De La Diputació, 51, L'Eixample, 08015 Barcelona, España, EMEA 08015",0,2.69,https://www.ubereats.com/es/store/mar-del-ro-helado-artesanal/agLbKwWeWVGu8RHHlia1rg
